count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
6425,E,2003,2003-09-23,11,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,35,55,488,33,125,18,4,2,0,1,0,25,726
6425,E,2003,2003-09-23,12,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,24,67,494,23,122,12,2,1,0,0,0,15,721
6425,E,2003,2003-09-23,13,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,53,69,493,39,135,9,3,2,0,0,0,14,750
6425,E,2003,2003-09-23,14,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,52,96,568,39,126,5,1,0,0,0,0,6,835
6425,E,2003,2003-09-23,15,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,63,79,591,39,143,11,2,0,0,0,0,13,865
6425,E,2003,2003-09-23,16,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,92,91,514,40,115,5,1,0,1,0,0,7,767
6425,E,2003,2003-09-23,17,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,142,109,571,47,101,7,0,0,0,0,0,7,835
6425,E,2003,2003-09-23,18,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,124,75,531,50,61,1,0,0,0,1,0,2,719
6425,W,2003,2003-09-23,7,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,15,31,433,35,117,29,3,0,2,0,0,34,650
6425,W,2003,2003-09-23,8,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,33,26,480,23,72,32,1,1,1,0,0,35,636
